"ID","MonthlyIncome"
871,5510.52511415525
872,2720.77192982456
873,15424.5714285714
874,2720.77192982456
875,2720.77192982456
876,5510.52511415525
877,5510.52511415525
878,2720.77192982456
879,2720.77192982456
880,15424.5714285714
881,9918.559139785
882,2720.77192982456
883,5510.52511415525
884,5510.52511415525
885,5510.52511415525
886,5510.52511415525
887,5510.52511415525
888,5510.52511415525
889,5510.52511415525
890,2720.77192982456
891,5510.52511415525
892,9918.559139785
893,9918.559139785
894,5510.52511415525
895,9918.559139785
896,9918.559139785
897,9918.559139785
898,15424.5714285714
899,5510.52511415525
900,2720.77192982456
901,2720.77192982456
902,5510.52511415525
903,5510.52511415525
904,2720.77192982456
905,15424.5714285714
906,5510.52511415525
907,9918.559139785
908,5510.52511415525
909,2720.77192982456
910,2720.77192982456
911,19178.4444444445
912,2720.77192982456
913,2720.77192982456
914,9918.559139785
915,5510.52511415525
916,5510.52511415525
917,2720.77192982456
918,5510.52511415525
919,2720.77192982456
920,2720.77192982456
921,2720.77192982456
922,2720.77192982456
923,5510.52511415525
924,5510.52511415525
925,15424.5714285714
926,2720.77192982456
927,5510.52511415525
928,9918.559139785
929,2720.77192982456
930,2720.77192982456
931,5510.52511415525
932,9918.559139785
933,9918.559139785
934,2720.77192982456
935,2720.77192982456
936,2720.77192982456
937,9918.559139785
938,9918.559139785
939,5510.52511415525
940,2720.77192982456
941,2720.77192982456
942,9918.559139785
943,9918.559139785
944,5510.52511415525
945,2720.77192982456
946,5510.52511415525
947,2720.77192982456
948,2720.77192982456
949,2720.77192982456
950,5510.52511415525
951,2720.77192982456
952,5510.52511415525
953,5510.52511415525
954,2720.77192982456
955,5510.52511415525
956,9918.559139785
957,9918.559139785
958,2720.77192982456
959,9918.559139785
960,19178.4444444445
961,2720.77192982456
962,5510.52511415525
963,5510.52511415525
964,5510.52511415525
965,2720.77192982456
966,19178.4444444445
967,2720.77192982456
968,9918.559139785
969,15424.5714285714
970,2720.77192982456
971,5510.52511415525
972,5510.52511415525
973,2720.77192982456
974,2720.77192982456
975,5510.52511415525
976,2720.77192982456
977,5510.52511415525
978,2720.77192982456
979,9918.559139785
980,19178.4444444445
981,2720.77192982456
982,9918.559139785
983,2720.77192982456
984,2720.77192982456
985,5510.52511415525
986,2720.77192982456
987,2720.77192982456
988,5510.52511415525
989,9918.559139785
990,2720.77192982456
991,5510.52511415525
992,2720.77192982456
993,5510.52511415525
994,5510.52511415525
995,5510.52511415525
996,5510.52511415525
997,2720.77192982456
998,15424.5714285714
999,9918.559139785
1000,2720.77192982456
1001,5510.52511415525
1002,5510.52511415525
1003,5510.52511415525
1004,5510.52511415525
1005,2720.77192982456
1006,5510.52511415525
1007,2720.77192982456
1008,5510.52511415525
1009,19178.4444444445
1010,5510.52511415525
1011,9918.559139785
1012,5510.52511415525
1013,5510.52511415525
1014,5510.52511415525
1015,5510.52511415525
1016,2720.77192982456
1017,2720.77192982456
1018,9918.559139785
1019,9918.559139785
1020,2720.77192982456
1021,5510.52511415525
1022,5510.52511415525
